"Engine Yard","San Francisco, CA","https://www.secondmarket.com/company/engine-yard"
"SkillShare","New York, NY","https://www.secondmarket.com/company/skillshare"
"Caesars Entertainment","Las Vegas, NV","https://www.secondmarket.com/company/ceasars-entertainment"
"Food Brasil","Porto Alegre, Brazil","https://www.secondmarket.com/company/food-brasil"
"3LM","Mountain View, CA","https://www.secondmarket.com/company/3lm"
"Stickybits","New York, NY","https://www.secondmarket.com/company/stickybits"
"MediaBank","Chicago, IL","https://www.secondmarket.com/company/mediabank"
"Squarespace","New York, NY","https://www.secondmarket.com/company/squarespace"
"Petra Solar","South Plainfield, NJ","https://www.secondmarket.com/company/petra-solar"
"Atlassian","Sydney, Australia","https://www.secondmarket.com/company/atlassian"
"Trion Worlds","Redwood City, CA","https://www.secondmarket.com/company/trion-world-network"
"Adamas Pharmaceuticals","Emeryville, CA","https://www.secondmarket.com/company/adamas-pharmaceuticals-inc"
"Qik","Redwood City, CA","https://www.secondmarket.com/company/qik"
"Lumosity","San Francisco, CA","https://www.secondmarket.com/company/lumos-labs"
"Endeca","Cambridge, MA","https://www.secondmarket.com/company/endeca"
"WeatherBug","","https://www.secondmarket.com/company/weatherbug"
"oDesk","Redwood City, CA","https://www.secondmarket.com/company/odesk"
"Conduit","Foster City, CA","https://www.secondmarket.com/company/conduit"
"Collective","New York, NY","https://www.secondmarket.com/company/collective"
"Good Technology","Redwood City, CA","https://www.secondmarket.com/company/good-technology"
"Wedbush Securities","Los Angeles, CA","https://www.secondmarket.com/company/wedbush-securities"
"Kabbage","Atlanta, GA","https://www.secondmarket.com/company/kabbage"
"Automattic","San Francisco, CA","https://www.secondmarket.com/company/automattic"
"MOG","Berkeley, CA","https://www.secondmarket.com/company/mog"
"Lockerz","Seattle, WA","https://www.secondmarket.com/company/lockerz"
"Lookout","San Francisco, CA","https://www.secondmarket.com/company/lookout"
"Formspring","San Francisco, CA","https://www.secondmarket.com/company/formspring"
"Fitbit","San Francisco, CA","https://www.secondmarket.com/company/fitbit"
"WageWorks","San Mateo, CA","https://www.secondmarket.com/company/wageworks"
"DISQUS","San Francisco, CA","https://www.secondmarket.com/company/disqus"
"hi5 Networks","San Francisco, CA","https://www.secondmarket.com/company/hi5-networks"
"Tapjoy, Inc.","San Francisco, CA","https://www.secondmarket.com/company/tapjoy-inc"
"YeePay","Beijing, China","https://www.secondmarket.com/company/yeepay"
"Clean Power Finance","San Francisco, CA","https://www.secondmarket.com/company/clean-power-finance"
"TrueCar","Santa Monica, CA","https://www.secondmarket.com/company/truecar"
"Cooliris","Palo Alto, CA","https://www.secondmarket.com/company/cooliris"
"m6d","New York, NY","https://www.secondmarket.com/company/media6degrees"
"IndieGoGo","","https://www.secondmarket.com/company/indiegogo"
"4INFO","San Mateo, CA","https://www.secondmarket.com/company/4info"
"99Bill Corporation","Shanghai, China","https://www.secondmarket.com/company/99bill-corporation"
"1366 Technologies","Lexington, MA","https://www.secondmarket.com/company/1366-technologies"
"TrialPay","Mountain View, CA","https://www.secondmarket.com/company/trialpay"
"Criteo","Palo Alto, CA","https://www.secondmarket.com/company/criteo"
"iControl","Palo Alto, CA","https://www.secondmarket.com/company/icontrol-networks"
"Jumio","Mountain View, CA","https://www.secondmarket.com/company/jumio"
"RightScale","Santa Barbara, CA","https://www.secondmarket.com/company/rightscale"
"OpenDNS","San Francisco, CA","https://www.secondmarket.com/company/opendns"
"Pinger","San Jose, CA","https://www.secondmarket.com/company/pinger"
"Glencore","Switzerland","https://www.secondmarket.com/company/glencore"
"AlphaClone","San Francisco, CA","https://www.secondmarket.com/company/alphaclone"
"Wix.com","San Francisco, CA","https://www.secondmarket.com/company/wix"
"Aurora Feint","Burlingame, CA","https://www.secondmarket.com/company/aurora-feint"
"Ice Energy","Windsor, CO","https://www.secondmarket.com/company/ice-energy"
"CardioDx","Palo Alto, CA","https://www.secondmarket.com/company/cardiodx"
"Trilliant","Redwood City, CA","https://www.secondmarket.com/company/trilliant"
"Epocrates","San Mateo, CA","https://www.secondmarket.com/company/epocrates"
"ChannelAdvisor","Morrisville, NC","https://www.secondmarket.com/company/channeladvisor"
"Stack Exchange","New York, NY","https://www.secondmarket.com/company/stack-exchange"
"Theranos","Palo Alto, CA","https://www.secondmarket.com/company/theranos"
"Trefis","Boston, MA","https://www.secondmarket.com/company/trefis"
"Swipely","Providence, RI","https://www.secondmarket.com/company/swipely"
"Plancast","Menlo Park, CA","https://www.secondmarket.com/company/plancast"
"OpenX","Pasadena, CA","https://www.secondmarket.com/company/openx"
"Go Fun Group","","https://www.secondmarket.com/company/go-fun-group"
"Gogobot","Menlo Park, CA","https://www.secondmarket.com/company/gogobot"
"Control4","Salt Lake City, UT","https://www.secondmarket.com/company/control4"
"Aviary","NY, NY","https://www.secondmarket.com/company/aviary"
"Zend","Cupertino, CA","https://www.secondmarket.com/company/zend"
